iter	Passed	Remaining
0	2	2573
1	3	1904
2	6	1999
3	7	1953
4	9	1980
5	11	1924
6	13	1864
7	14	1811
8	16	1770
9	16	1676
10	18	1652
11	19	1625
12	21	1606
13	22	1594
14	23	1563
15	25	1556
16	26	1548
17	28	1548
18	29	1539
19	30	1495
20	31	1484
21	33	1480
22	34	1472
23	36	1470
24	37	1461
25	39	1465
26	40	1465
27	42	1463
28	43	1467
29	44	1450
30	46	1446
31	47	1445
32	49	1447
33	50	1444
34	52	1445
35	53	1443
36	55	1439
37	56	1438
38	58	1435
39	59	1433
40	61	1435
41	62	1432
42	64	1431
43	65	1426
44	67	1425
45	69	1434
46	70	1433
47	72	1434
48	74	1436
49	75	1441
50	76	1421
51	77	1420
52	79	1422
53	81	1419
54	82	1421
55	84	1426
56	85	1422
57	87	1419
58	88	1411
59	89	1409
60	91	1408
61	92	1406
62	94	1404
63	95	1403
64	98	1416
65	100	1419
66	101	1408
67	102	1407
68	104	1408
69	105	1406
70	107	1408
71	108	1400
72	110	1399
73	111	1399
74	112	1389
75	114	1386
76	115	1389
77	117	1383
78	118	1383
79	120	1380
80	121	1380
81	123	1377
82	124	1373
83	125	1372
84	126	1363
85	128	1361
86	129	1360
87	131	1358
88	132	1358
89	134	1357
90	136	1359
91	137	1357
92	139	1355
93	140	1355
94	142	1353
95	143	1354
96	144	1348
97	146	1348
98	148	1347
99	149	1348
100	151	1346
101	153	1347
102	154	1348
103	156	1349
104	157	1340
105	158	1340
106	160	1342
107	162	1341
108	164	1342
109	165	1341
110	167	1340
111	169	1339
112	170	1340
113	172	1340
114	174	1339
115	175	1339
116	177	1339
117	179	1340
118	180	1338
119	182	1337
120	184	1337
121	185	1336
122	186	1327
123	187	1327
124	189	1327
125	190	1319
126	191	1318
127	193	1318
128	195	1317
129	196	1316
130	198	1316
131	200	1317
132	201	1316
133	203	1317
134	205	1316
135	207	1317
136	209	1317
137	210	1314
138	212	1314
139	213	1312
140	215	1311
141	217	1311
142	218	1310
143	220	1309
144	221	1307
145	223	1306
146	225	1305
147	226	1306
148	228	1305
149	230	1304
150	231	1303
151	233	1301
152	235	1303
153	237	1302
154	238	1301
155	240	1299
156	241	1298
157	243	1296
158	245	1300
159	247	1299
160	249	1300
161	251	1299
162	253	1300
163	254	1298
164	256	1298
165	258	1298
166	259	1296
167	261	1296
168	263	1295
169	265	1294
170	266	1294
171	268	1293
172	270	1290
173	271	1289
174	273	1288
175	274	1286
176	276	1287
177	278	1286
178	280	1284
179	281	1284
180	283	1283
181	285	1282
182	287	1282
183	289	1282
184	290	1281
185	292	1279
186	294	1278
187	295	1277
188	297	1277
189	299	1276
190	301	1276
191	303	1275
192	304	1274
193	306	1273
194	307	1271
195	309	1270
196	311	1270
197	313	1268
198	314	1267
199	316	1266
200	318	1264
201	319	1263
202	321	1262
203	323	1261
204	324	1260
205	326	1258
206	328	1257
